gender,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,intel_o,fun_o,met_o,age,field,race,imprace,imprelig,from,goal,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,attr3_1,sinc3_1,fun3_1,intel3_1,attr,sinc,intel,fun,met,iid,pid,match
0,0,27.0,2,35.0,20.0,20.0,20.0,0.0,5.0,6.0,8.0,8.0,8.0,2.0,21.0,Law,4,2.0,4.0,Chicago,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,15.0,20.0,20.0,15.0,15.0,6.0,8.0,8.0,8.0,6.0,9.0,7.0,7.0,2.0,246,449,1
0,0,22.0,2,60.0,0.0,0.0,40.0,0.0,0.0,7.0,8.0,10.0,7.0,2.0,21.0,Law,4,2.0,4.0,Chicago,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,15.0,20.0,20.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,8.0,7.0,8.0,1.0,246,19,1
0,1,22.0,4,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,1.0,21.0,Law,4,2.0,4.0,Chicago,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,15.0,20.0,20.0,15.0,15.0,6.0,8.0,8.0,8.0,5.0,8.0,9.0,8.0,1.0,246,68,1
0,0,23.0,2,30.0,5.0,15.0,40.0,5.0,5.0,7.0,8.0,9.0,8.0,2.0,21.0,Law,4,2.0,4.0,Chicago,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,15.0,20.0,20.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,6.0,8.0,7.0,2.0,246,45,1
0,0,24.0,3,30.0,10.0,20.0,10.0,10.0,20.0,8.0,7.0,9.0,6.0,2.0,21.0,Law,4,2.0,4.0,Chicago,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,15.0,20.0,20.0,15.0,15.0,6.0,8.0,8.0,8.0,5.0,6.0,7.0,7.0,2.0,246,221,0
0,0,25.0,2,50.0,0.0,30.0,10.0,0.0,10.0,7.0,7.0,8.0,8.0,2.0,21.0,Law,4,2.0,4.0,Chicago,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,15.0,20.0,20.0,15.0,15.0,6.0,8.0,8.0,8.0,4.0,9.0,7.0,4.0,2.0,246,152,0
0,0,30.0,2,35.0,15.0,25.0,10.0,5.0,10.0,3.0,6.0,7.0,5.0,2.0,21.0,Law,4,2.0,4.0,Chicago,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,15.0,20.0,20.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,6.0,7.0,4.0,2.0,246,308,0
0,0,27.0,2,33.33,11.11,11.11,11.11,11.11,22.22,6.0,7.0,5.0,6.0,2.0,21.0,Law,4,2.0,4.0,Chicago,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,15.0,20.0,20.0,15.0,15.0,6.0,8.0,8.0,8.0,4.0,9.0,7.0,6.0,,246,499,0
0,0,28.0,2,50.0,0.0,25.0,10.0,0.0,15.0,7.0,7.0,8.0,8.0,2.0,21.0,Law,4,2.0,4.0,Chicago,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,15.0,20.0,20.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,6.0,8.0,9.0,2.0,246,378,1
0,0,24.0,2,100.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,2.0,21.0,Law,4,2.0,4.0,Chicago,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,15.0,20.0,20.0,15.0,15.0,6.0,8.0,8.0,8.0,5.0,6.0,6.0,8.0,2.0,246,552,0
