gender,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,intel_o,fun_o,met_o,age,field,race,imprace,imprelig,from,goal,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,attr3_1,sinc3_1,fun3_1,intel3_1,attr,sinc,intel,fun,met,iid,pid,match
0,0,27,2,35,20,20,20,0,5,6,8,8,8,2,21,Law,4,2,4,Chicago,2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,6,8,8,8,6,9,7,7,2,246,449,
0,0,22,2,60,0,0,40,0,0,7,8,10,7,2,21,Law,4,2,4,Chicago,2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,6,8,8,8,7,8,7,8,1,246,19,
0,1,22,4,19,18,19,18,14,12,10,10,10,10,1,21,Law,4,2,4,Chicago,2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,6,8,8,8,5,8,9,8,1,246,68,
0,0,23,2,30,5,15,40,5,5,7,8,9,8,2,21,Law,4,2,4,Chicago,2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,6,8,8,8,7,6,8,7,2,246,45,
0,0,24,3,30,10,20,10,10,20,8,7,9,6,2,21,Law,4,2,4,Chicago,2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,6,8,8,8,5,6,7,7,2,246,221,
0,0,25,2,50,0,30,10,0,10,7,7,8,8,2,21,Law,4,2,4,Chicago,2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,6,8,8,8,4,9,7,4,2,246,152,
0,0,30,2,35,15,25,10,5,10,3,6,7,5,2,21,Law,4,2,4,Chicago,2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,6,8,8,8,7,6,7,4,2,246,308,
0,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,6,7,5,6,2,21,Law,4,2,4,Chicago,2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,6,8,8,8,4,9,7,6,,246,499,
0,0,28,2,50,0,25,10,0,15,7,7,8,8,2,21,Law,4,2,4,Chicago,2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,6,8,8,8,7,6,8,9,2,246,378,
0,0,24,2,100,0,0,0,0,0,6,6,6,6,2,21,Law,4,2,4,Chicago,2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,6,8,8,8,5,6,6,8,2,246,552,
0,1,27,2,35,20,20,20,0,5,8,7,6,9,2,24,law,2,2,5,Alabama,1,5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,7,5,10,8,5,7,8,4,2,176,449,
0,1,22,2,60,0,0,40,0,0,7,6,10,6,2,24,law,2,2,5,Alabama,1,5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,7,5,10,8,8,5,6,6,2,176,19,
0,0,22,4,19,18,19,18,14,12,10,10,10,10,2,24,law,2,2,5,Alabama,1,5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,7,5,10,8,5,8,9,6,2,176,68,
0,1,23,2,30,5,15,40,5,5,9,9,9,9,2,24,law,2,2,5,Alabama,1,5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,7,5,10,8,7,9,7,6,2,176,45,
0,0,24,3,30,10,20,10,10,20,10,10,10,10,1,24,law,2,2,5,Alabama,1,5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,7,5,10,8,6,8,7,9,1,176,221,
