nodes,connection
"(441, 443)",0.8062405183643291
"(850, 1089)",0.10279260155931108
"(313, 796)",0.9354819817123471
"(516, 613)",0.526309283902571
"(490, 869)",0.4029781207787701
"(844, 1120)",0.5627777486968327
"(1385, 1465)",0.6054045308820294
"(490, 1031)",0.5592573205964491
"(335, 1224)",0.31116339547965705
"(893, 1345)",0.9493026834958743
"(737, 1113)",0.08407565395161704
"(731, 1352)",0.9346179341775565
"(1166, 1544)",0.49113885602839824
"(587, 1146)",0.5259175370621836
"(834, 1045)",0.7291939445053595
"(662, 1446)",0.9492239945191336
"(534, 1133)",0.9492401314493972
"(595, 1268)",0.6032183279670202
"(921, 1330)",0.9078482298388708
"(979, 1339)",0.45338433707583214
"(328, 1419)",0.7021853802312457
"(483, 482)",0.2581574477694112
"(688, 1242)",0.45541075959133936
"(1137, 1479)",0.4656939369884866
"(716, 1472)",0.5790804436360737
"(1208, 1333)",0.3680183958956578
"(782, 1194)",0.23040909636654938
"(320, 1226)",0.27370039671289886
"(1313, 1336)",0.2208907350857718
"(645, 961)",0.6032183279670202
"(1201, 1318)",0.11926901345094348
"(494, 1164)",0.2148877576963954
"(1223, 1484)",0.774803745021783
"(1416, 1570)",0.9492239930700044
"(665, 1152)",0.25686932187809713
"(321, 549)",0.770826143216138
"(1259, 1464)",0.23743712979531179
"(928, 1036)",0.6712113101745801
"(1181, 1520)",0.3436637399280866
"(785, 1232)",0.13264698296733904
"(926, 1249)",0.7265003577751961
"(368, 693)",0.2231642561301151
"(645, 995)",0.9492239974897709
"(1289, 1540)",0.08407565395161704
"(1005, 1394)",0.9492390413646985
"(534, 652)",0.09818545891498924
"(888, 946)",0.5592573205964491
"(496, 1410)",0.5252702999501838
"(313, 959)",0.5328444575064338
"(354, 1592)",0.3051513355108139
"(562, 981)",0.19285575599405055
"(534, 779)",0.9280803914987669
"(459, 718)",0.8266118547487061
"(972, 1583)",0.9091720247600296
"(560, 1274)",0.6314641312851377
"(516, 633)",0.9057336105376178
"(927, 1018)",0.9470288244141734
"(526, 1113)",0.6295505506286336
"(868, 1097)",0.678941222098657
"(881, 1374)",0.516611374205064
"(516, 595)",0.09657744017787422
"(1174, 1335)",0.6314641312851377
"(369, 649)",0.4476784267223389
"(759, 1126)",0.9492222382607899
"(849, 1161)",0.5364242265786194
"(1055, 1405)",0.09722558129299787
"(583, 1223)",0.9207040081810297
"(429, 632)",0.9492239974920343
"(739, 1271)",0.610738915777628
"(855, 1276)",0.8369278211774797
"(594, 1387)",0.9190677158412347
"(568, 1522)",0.15215103873365182
"(665, 1423)",0.25686932187809713
"(720, 1475)",0.5059051923144442
"(540, 992)",0.9276738499108017
"(478, 636)",0.9492239974920343
"(611, 924)",0.5020054275005964
"(812, 1119)",0.08407565395161704
"(359, 1213)",0.5709943179378447
"(390, 1597)",0.4191462849012479
"(832, 834)",0.08035177845533474
"(108, 125)",0.9492239974920343
"(360, 1201)",0.10496572698381042
"(1039, 1381)",0.8942991955482077
"(437, 1248)",0.23508741892171997
"(788, 980)",0.575396663431326
"(988, 1537)",0.1256918688359519
"(313, 1152)",0.6341698498131584
"(640, 962)",0.2208907350857718
"(766, 1187)",0.6231951233978348
"(429, 825)",0.7269651078308025
"(432, 645)",0.9492239974920343
"(564, 1429)",0.6035116138778873
"(1170, 1449)",0.8991693536708322
"(887, 1270)",0.7328492244854041
"(1205, 1228)",0.08407565395161704
"(1101, 1549)",0.6510016153683564
"(498, 876)",0.9197988797207606
"(620, 1162)",0.5842249487449491
"(1212, 1303)",0.8952438448978618
"(535, 738)",0.5515774094850759
"(765, 941)",0.5592573205964491
"(1078, 1482)",0.1534949972404086
"(304, 1504)",0.26403023034102735
"(1220, 1400)",0.9441736443206884
"(374, 478)",0.19608137141001347
"(713, 1412)",0.1994315951596244
"(816, 1457)",0.907523502694183
"(601, 783)",0.7937069867161252
"(1811, 432)",0.9492239974920343
"(1523, 1599)",0.42680709919265664
"(821, 1168)",0.5719022659598635
"(310, 1528)",0.15432927179266873
"(567, 1333)",0.7011993470957142
"(302, 1257)",0.9271168795776067
"(937, 1342)",0.3186666190002521
"(534, 1171)",0.6886297403773685
"(941, 1321)",0.8115789412712726
"(1237, 1395)",0.585867150108397
"(349, 1068)",0.9481342328928108
"(308, 1278)",0.6133599223508113
"(322, 1028)",0.1138943842958585
"(815, 1004)",0.1333526772355387
"(897, 1356)",0.9012520650927963
"(1241, 1535)",0.9492239974920343
"(535, 863)",0.5489282396460912
"(667, 1204)",0.49113885602839824
"(1034, 1115)",0.9492239974920563
"(1852, 976)",0.7576645904090756
"(736, 1325)",0.8982670622651371
